Soil_Type,Soil_Treatment,Species,Rep,Germinants,Survival,AboveMass,BelowMass
Invaded,AC,RF,1,1,1,0.22,0.05
Invaded,AC,RF,2,1,1,0.24,0.001
Invaded,AC,RF,3,0,0,0.001,0.001
Invaded,AC,RF,4,0,0,0.001,0.001
Invaded,AC,RF,5,2,0,0.001,0.001
Invaded,AC,RF,6,0,0,0.001,0.001
Invaded,AC,RF,7,3,3,0.32,0.35
Invaded,AC,RF,8,2,2,0.4,0.27
Invaded,AC,RF,9,0,0,0.001,0.001
Invaded,AC,RF,10,2,2,0.24,0.03
Invaded,Ash,RF,1,1,1,0.42,0.15
Invaded,Ash,RF,2,1,1,0.32,0.07
Invaded,Ash,RF,3,1,1,0.46,0.63
Invaded,Ash,RF,4,3,3,0.49,0.54
Invaded,Ash,RF,5,5,5,0.76,1.51
Invaded,Ash,RF,6,1,1,0.57,1.15
Invaded,Ash,RF,7,4,4,0.83,1.13
Invaded,Ash,RF,8,1,1,0.45,0.39
Invaded,Ash,RF,9,0,0,0.001,0.001
Invaded,Ash,RF,10,3,3,0.75,1.87
Invaded,Con,RF,1,4,4,0.62,0.35
Invaded,Con,RF,2,5,5,0.99,1.37
Invaded,Con,RF,3,2,2,0.77,0.76
Invaded,Con,RF,4,2,2,0.82,0.73
Invaded,Con,RF,5,4,4,0.83,1.03
Invaded,Con,RF,6,5,5,0.59,1.56
Invaded,Con,RF,7,3,3,0.5,0.87
Invaded,Con,RF,8,1,1,0.58,0.74
Invaded,Con,RF,9,3,3,0.65,1.41
Invaded,Con,RF,10,3,3,0.81,2.67
Pristine,AC,RF,1,1,1,0.22,0.06
Pristine,AC,RF,2,3,0,0.001,0.001
Pristine,AC,RF,3,0,0,0.001,0.001
Pristine,AC,RF,4,1,0,0.001,0.03
Pristine,AC,RF,5,2,2,0.38,1.1
Pristine,AC,RF,6,2,1,0.06,0.05
Pristine,AC,RF,7,2,0,0.001,0.001
Pristine,AC,RF,8,1,1,0.22,0.001
Pristine,AC,RF,9,1,1,0.21,0.03
Pristine,AC,RF,10,2,1,0.22,0.001
Pristine,Ash,RF,1,2,2,0.44,0.21
Pristine,Ash,RF,2,2,2,0.32,0.22
Pristine,Ash,RF,3,5,5,0.78,1.28
Pristine,Ash,RF,4,2,2,0.56,1.05
Pristine,Ash,RF,5,4,3,0.6,1.04
Pristine,Ash,RF,6,5,5,0.59,2.59
Pristine,Ash,RF,7,3,2,0.33,0.28
Pristine,Ash,RF,8,4,4,0.46,1
Pristine,Ash,RF,9,3,3,0.19,0.01
Pristine,Ash,RF,10,3,3,0.37,0.001
Pristine,Con,RF,1,3,3,0.88,1.87
Pristine,Con,RF,2,5,5,0.66,0.61
Pristine,Con,RF,3,4,4,0.74,0.39
Pristine,Con,RF,4,2,2,0.31,0.15
Pristine,Con,RF,5,4,2,0.07,0.03
Pristine,Con,RF,6,5,5,0.3,0.66
Pristine,Con,RF,7,4,4,0.23,0.88
Pristine,Con,RF,8,4,4,0.32,0.34
Pristine,Con,RF,9,1,1,0.21,0.01
Pristine,Con,RF,10,2,2,0.29,0.23
Invaded,AC,SK,1,3,1,0.49,0.39
Invaded,AC,SK,2,5,1,0.56,0.15
Invaded,AC,SK,3,2,0,0.001,0.001
Invaded,AC,SK,4,3,1,0.44,0.23
Invaded,AC,SK,5,3,0,0.001,0.001
Invaded,AC,SK,6,5,3,0.5,1.48
Invaded,AC,SK,7,5,5,0.83,5.33
Invaded,AC,SK,8,2,1,0.45,0.2
Invaded,AC,SK,9,5,2,0.49,0.46
Invaded,AC,SK,10,2,2,0.53,0.21
Invaded,Ash,SK,1,3,3,0.85,1.61
Invaded,Ash,SK,2,5,5,1.53,1.92
Invaded,Ash,SK,3,5,4,0.85,4.86
Invaded,Ash,SK,4,4,4,1.11,4.52
Invaded,Ash,SK,5,4,1,0.42,0.25
Invaded,Ash,SK,6,5,5,1.28,6.74
Invaded,Ash,SK,7,5,5,1.04,4.6
Invaded,Ash,SK,8,5,5,1.03,2.78
Invaded,Ash,SK,9,5,5,0.89,3.03
Invaded,Ash,SK,10,4,3,0.93,1.78
Invaded,Con,SK,1,1,0,0.001,0.001
Invaded,Con,SK,2,5,5,0.87,1.67
Invaded,Con,SK,3,5,5,1.4,3.73
Invaded,Con,SK,4,4,4,1.23,5.69
Invaded,Con,SK,5,2,2,0.89,3.11
Invaded,Con,SK,6,3,2,0.7,3.21
Invaded,Con,SK,7,5,5,1.08,3.73
Invaded,Con,SK,8,2,2,0.41,0.78
Invaded,Con,SK,9,2,2,0.78,3.37
Invaded,Con,SK,10,3,3,1.01,2.36
Pristine,AC,SK,1,3,1,0.27,0.04
Pristine,AC,SK,2,2,0,0.001,0.001
Pristine,AC,SK,3,3,0,0.001,0.001
Pristine,AC,SK,4,2,1,0.05,0.001
Pristine,AC,SK,5,2,0,0.001,0.001
Pristine,AC,SK,6,4,1,0.39,0.89
Pristine,AC,SK,7,4,4,0.81,1.31
Pristine,AC,SK,8,3,3,0.64,1.11
Pristine,AC,SK,9,5,5,0.58,0.44
Pristine,AC,SK,10,2,0,0.001,0.38
Pristine,Ash,SK,1,2,2,1.09,1.99
Pristine,Ash,SK,2,4,4,0.97,3.76
Pristine,Ash,SK,3,4,4,0.88,3.06
Pristine,Ash,SK,4,3,3,0.85,4.6
Pristine,Ash,SK,5,3,3,0.6,2.81
Pristine,Ash,SK,6,4,4,1.04,7.1
Pristine,Ash,SK,7,4,4,0.86,2.33
Pristine,Ash,SK,8,3,3,1.03,4.4
Pristine,Ash,SK,9,3,2,0.85,3.36
Pristine,Ash,SK,10,3,2,1.04,4.36
Pristine,Con,SK,1,3,3,1.02,5.24
Pristine,Con,SK,2,4,4,0.92,3.02
Pristine,Con,SK,3,3,3,0.99,4.59
Pristine,Con,SK,4,3,3,0.84,1.72
Pristine,Con,SK,5,3,3,1.11,5.63
Pristine,Con,SK,6,3,3,0.99,3.87
Pristine,Con,SK,7,4,4,1.1,3.61
Pristine,Con,SK,8,5,4,1.15,5.56
Pristine,Con,SK,9,2,2,0.97,5.12
Pristine,Con,SK,10,5,5,1.15,4.54
