Site_ID,Common Name,Cover
Pri_01,Litter,40
Pri_02,Litter,18
Pri_03,Litter,45
Pri_04,Litter,48
Pri_05,Litter,22
Pri_06,Litter,40
Pri_07,Litter,41
Pri_08,Litter,70
Pri_09,Litter,52
Pri_10,Litter,33
Inv_01,Litter,2
Inv_02,Litter,25
Inv_03,Litter,20
Inv_04,Litter,20
Inv_05,Litter,5
Inv_06,Litter,20
Inv_07,Litter,30
Inv_08,Litter,15
Inv_09,Litter,10
Inv_10,Litter,16
Pri_04,Bare Ground,2
Pri_07,Bare Ground,5
Inv_01,Bare Ground,12
Inv_02,Bare Ground,5
Inv_03,Bare Ground,15
Inv_04,Bare Ground,25
Inv_05,Bare Ground,6
Inv_06,Bare Ground,5
Inv_07,Bare Ground,10
Inv_08,Bare Ground,14
Inv_09,Bare Ground,8
Inv_10,Bare Ground,13
