Treatment,Rep,Planting_Height,Planting_Leaves,Harvest_Height,Harvest_Leaves,Change_Height,Change_Leaves,Biomass
AC-01,1,11.5,11,0,0,-11.5,-11,0.01
AC-01,2,15.4,9,0,0,-15.4,-9,0.02
AC-01,3,14.1,16,0,0,-14.1,-16,0.09
AC-01,4,18.1,16,0,0,-18.1,-16,0.11
AC-01,5,8.8,12,0,0,-8.8,-12,0.04
AC-01,6,8.2,18,0,0,-8.2,-18,0.08
AC-01,7,8.5,14,0,0,-8.5,-14,0.04
AC-01,8,7.7,21,0,0,-7.7,-21,0.01
AC-01,9,9.7,15,0,0,-9.7,-15,0
AC-01,10,7.4,7,0,0,-7.4,-7,0.02
ASH-01,1,14,14,0,0,-14,-14,0
ASH-01,2,15.4,7,0,0,-15.4,-7,0
ASH-01,3,11.1,14,0,0,-11.1,-14,0.02
ASH-01,4,9,19,2.8,5,-6.2,-14,0.12
ASH-01,5,8.7,7,0,0,-8.7,-7,0
ASH-01,6,8.1,23,2.2,16,-5.9,-7,0.23
ASH-01,7,12.1,10,7.2,36,-4.9,26,0.19
ASH-01,8,8.9,19,5.1,28,-3.8,9,0.18
ASH-01,9,8.2,19,3.9,18,-4.3,-1,0.15
ASH-01,10,6.2,8,0,0,-6.2,-8,0.01
ASH-02,1,10,10,0,0,-10,-10,0.02
ASH-02,2,17,10,0,0,-17,-10,0.01
ASH-02,3,18,10,0,0,-18,-10,0.22
ASH-02,4,9.1,8,0,0,-9.1,-8,0.02
ASH-02,5,8.9,9,0,0,-8.9,-9,0.02
ASH-02,6,7.2,14,0,0,-7.2,-14,0.03
ASH-02,7,8.4,15,2.7,39,-5.7,24,0.14
ASH-02,8,10.1,16,4.9,29,-5.2,13,0.21
ASH-02,9,5.4,17,0,0,-5.4,-17,0.08
ASH-02,10,8.9,8,0,0,-8.9,-8,0.04
ASH-05,1,10.5,17,0,0,-10.5,-17,0.01
ASH-05,2,17,12,0,0,-17,-12,0.04
ASH-05,3,7.5,6,0,0,-7.5,-6,0
ASH-05,4,11.5,20,0,0,-11.5,-20,0.02
ASH-05,5,9.6,9,0,0,-9.6,-9,0.03
ASH-05,6,7,15,0,0,-7,-15,0.07
ASH-05,7,11.3,24,7.5,71,-3.8,47,0.25
ASH-05,8,9.1,17,0,0,-9.1,-17,0.02
ASH-05,9,6.6,14,2,32,-4.6,18,0.12
ASH-05,10,5.5,21,0,0,-5.5,-21,0.16
ASH-10,1,12.7,17,0,0,-12.7,-17,0.06
ASH-10,2,15.4,9,7,11,-8.4,2,0.04
ASH-10,3,12.6,20,0,0,-12.6,-20,0.04
ASH-10,4,8.5,13,0,0,-8.5,-13,0.06
ASH-10,5,8.9,14,3.4,36,-5.5,22,0.08
ASH-10,6,8.7,13,3,11,-5.7,-2,0.08
ASH-10,7,7.2,27,6.3,56,-0.9,29,0.38
ASH-10,8,5.4,13,0,0,-5.4,-13,0.03
ASH-10,9,9,20,0,0,-9,-20,0.18
ASH-10,10,5.2,7,0,0,-5.2,-7,0.02
ASH-20,1,12.6,16,0,0,-12.6,-16,0.03
ASH-20,2,15.5,8,0,0,-15.5,-8,0.02
ASH-20,3,12.4,20,3.1,29,-9.3,9,0.32
ASH-20,4,5.9,11,0,0,-5.9,-11,0.09
ASH-20,5,9.4,5,0,0,-9.4,-5,0
ASH-20,6,8.9,11,1.5,9,-7.4,-2,0.05
ASH-20,7,9.7,9,5.1,23,-4.6,14,0.1
ASH-20,8,6.5,12,0,0,-6.5,-12,0.03
ASH-20,9,13.1,10,5.8,22,-7.3,12,0.11
ASH-20,10,12.8,10,0,0,-12.8,-10,0.05
CONTROL,1,16.5,10,0,0,-16.5,-10,0.11
CONTROL,2,14.1,16,0,0,-14.1,-16,0.01
CONTROL,3,10,6,0,0,-10,-6,0.03
CONTROL,4,12.1,10,0,0,-12.1,-10,0.06
CONTROL,5,7.1,8,0,0,-7.1,-8,0.02
CONTROL,6,8,28,1.8,13,-6.2,-15,0.21
CONTROL,7,5.6,17,7.1,30,1.5,13,0.26
CONTROL,8,8.7,16,2.9,35,-5.8,19,0.18
CONTROL,9,9.3,9,3.1,15,-6.2,6,0.17
CONTROL,10,7.5,15,3,26,-4.5,11,0.25
